Video Name,Channel Name,Views,Likes,Uploading Date,Duration,Description
Masha and The Bear - Recipe For Disaster,Masha and The Bear,561185827,2.1M,14-Aug-15,0:06:42,Kids Cartoon
Johny Johny Yes Papa - Great Songs for Children,LooLoo Kids - Nursery Rhymes and Children's Songs,1020807584,3.2M,15-Jan-17,0:55:18,Kids Cartoon Song
Taylor Swift - Shake It Off,Taylor Swift,3210140604,12M,19-Aug-14,0:04:01,Song for Adults
Justin Bieber - Sorry (PURPOSE : The Movement),Justin Bieber,3587835774,15M,23-Oct-15,0:03:25,Song for Adults
OneRepublic - Counting Stars,OneRepublic,3652787277,16M,31-May-13,0:04:43,Song for Adults
Katy Perry - Roar,Katy Perry,3659392210,15M,6-Sep-13,0:04:29,Song for Adults
Maroon 5 - Sugar,Maroon 5,3760434713,15M,14-Jan-15,0:05:01,Song for Adults
PSY - GANGNAM STYLE,officialpsy,4554504719,25M,15-Jul-12,0:04:12,Song for Adults
Mark Ronson - Uptown Funk,Mark Ronson,4701371602,19M,19-Nov-14,0:04:30,Song for Adults
Bath Song | CoComelon Nursery Rhymes & Kids Songs,CoComelon Nursery Rhymes,5628089868,15M,2-May-18,0:02:52,Kids Cartoon Song
Wiz Khalifa - See You Again,Wiz Khalifa,5644491107,39M,7-Apr-15,0:03:57,Song for Adults
Ed Sheeran - Shape of You,Ed Sheeran,5812584594,30M,30-Jan-17,0:04:23,Song for Adults
Luis Fonsi - Despacito ft. Daddy Yankee,Luis Fonsi,7976673490,49M,13-Jan-17,0:04:41,Song for Adults
Baby Shark Dance,Pinkfong Baby Shark - Kids' Songs & Stories,11404281262,37M,18-Jun-16,0:02:16,Kids Cartoon Song
